"CTDID","Region","Year","Mission","Location","Latitude","Longitude","UTCDate","UTCTime","Sample_Depth_m","DIC_umol_kg","TA_umol_kg","pH_measured","pH_calculated","pCO2_uatm","Aragonite_Sat_W","Salinity_Bottle","Conductivity_Sm","Salinity_CTD","Temperature_C","Pressure_db","Density_Sigmat","SiteID","Survey_design","Sample_frequency","ncrmp_flag","bottle_id","source_code","sample_num","bottle_name","deployment_id","project_code","collection_id","collected_date","collected_time","collected_timezone","density_id","dic_id","calc_avg_dic","dic_temp","dic_machine","dic_kg_flag","calibration_dic_id","calc_avg_crm_init_dic","crm_init_dic_temp","calibration_dic_kg_flag","dic_crm_id","dic_crm_batch","dic_crm_dic","dic_crm_salinity","ta_id","calc_avg_ta","calc_avg_ta_temp","ta_machine","ta_kg_flag","calibration_ta_id","calc_avg_crm_ta","calc_avg_crm_ta_temp","calibration_ta_kg_flag","ta_crm_id","ta_crm_batch","ta_crm_ta","ta_crm_salinity","spec_ph_id","spec_ph_temp","rm_factor","seacarb_id","UTCDate_Time","datetime","ESTDate","ESTTime","Month","Months","MY","MoY","ToD","Season","Precipitation","dec.lon","dec.lat","Zone","Sub_region","Reference","Transect","Extreme","BestSalinity","n35TA","n35DIC","TA_0","DIC_0","nTA","nDIC","Date","Problem"
"WS18120_12","FL",2018,"WaltonSmith","Upper_Keys",24.9220833333333,-80.5475333333333,2018-05-01,"0:48:00",0,2032.70029036951,2406.49799197801,NA,8.22179091546916,274.698968363435,4.68853814198892,26.9570803750063,NA,36.5,27.33,0,NA,"UK_MID","Permanent","Single",1,1546,"O",1862,"6P",131,"WS - May 2018",1546,"5/1/2018","0:48:00","+00:00",1539,9734,2068.25,25,"UNSPECIFIED",0,128,2085.25,24.5,0,5,163,2039.43,33.362,1532,2446.55,24.6,"AS2",0,356,2272.35,24.55,0,7,175,2224.53,33.458,NA,NA,NA,1226,2018-05-01 00:48:00,2018-04-30 19:48:00,2018-04-30,"19:48:00","Apr","April","2018-04",4,19.8,"Spring","Dry",-80.546176,24.920702,"Mid channel","UK","UK_4","T2","Normal",26.9570803750063,3213.08604934334,2714.00224195247,2111.55975298223,1786.67657836499,2505.35270202862,2115.16027520765,2018-04-30,"salinity"
"WS17212_16","FL",2017,"WaltonSmith","Middle_Keys",24.8179,-80.7550666666667,2017-08-01,"3:44:00",0,1715.48568497419,2056.23053437287,NA,8.01045046438537,366.554474537887,3.42885154853203,41.0319851457546,NA,35.951,29.766,0,NA,"7","Permanent","Single",1,445,"O",484,"16T",35,"WS - July/Aug 2017",445,"8/1/2017","3:44:00","+00:00",447,8637,1761.4,24.6,"UNSPECIFIED",0,54,2286.95,23.6,0,6,164,2238.89,33.247,444,2110.1,24.25,"AS2",0,446,2356.95,23.9,0,6,164,2309.32,33.247,NA,NA,NA,403,2017-08-01 03:44:00,2017-07-31 22:44:00,2017-07-31,"22:44:00","Jul","July","2017-07",7,22.7333333333333,"Summer","Wet",-80.75666667,24.82083333,"Inshore","MK","MK_5","T1","Normal",41.0319851457546,1803.67788982104,1504.78438510113,2111.55975298223,1786.67657836499,2063.02624149189,1724.2295724388,2017-07-31,"salinity"
"WS11094_24","FL",2011,"WaltonSmith","Middle_Keys",24.7191,-80.6883166666667,2011-04-08,"16:26:00",0,2182.68,2339.6,NA,7.73026931361497,943.498480193782,1.99895867874981,NA,NA,35.929,26.219,0,NA,"9.5","Permanent","Single",1,10173,"E",1182,"14",517,"Walton Smith",9373,"4/8/2011","16:26:00","+00:00",NA,17291,2164.09,NA,"SOMMA",1,602,1986.77,NA,1,17,96,2005.36,33.081,9229,2329.55,NA,"Langdonometer",1,639,2202.35,NA,1,17,96,2212.4,33.081,NA,NA,NA,4670,2011-04-08 16:26:00,2011-04-08 11:26:00,2011-04-08,"11:26:00","Apr","April","2011-04",4,11.4333333333333,"Spring","Dry",-80.69,24.71666667,"Oceanic","MK","MK_5","T1","Normal",35.929,2343.72249986781,2186.52599846618,2111.55975298223,1786.67657836499,2340.00181906659,2183.37777913034,2011-04-08,"omega"
"WS17212_30","FL",2017,"WaltonSmith","Lower_Keys",24.6095166666667,-81.4212966666667,2017-08-01,"15:50:00",0,2025.47252151022,2169.27172272406,NA,7.67256158124912,1014.98260320353,1.83525747875831,36.3211987570624,NA,36.25,29.03,0,NA,"19","Permanent","Single",1,459,"O",498,"6G",36,"WS - July/Aug 2017",459,"8/1/2017","15:50:00","+00:00",461,8651,2069.3,24.8,"UNSPECIFIED",0,51,2283.2,24.1,0,6,164,2238.89,33.247,458,2222.1,24.25,"AS2",0,435,2360.15,24.35,0,6,164,2309.32,33.247,NA,NA,NA,417,2017-08-01 15:50:00,2017-08-01 10:50:00,2017-08-01,"10:50:00","Aug","August","2017-08",8,10.8333333333333,"Summer","Wet",-81.42166667,24.61,"Inshore","LK","LK_9","T2","Normal",36.3211987570624,2149.6288782966,2007.13178474804,2111.55975298223,1786.67657836499,2168.74913847084,2023.31021445022,2017-08-01,"omega"
"WS21032_33","FL",2021,"WaltonSmith","Middle_Keys",24.718227,-80.687901,2021-02-07,"13:05:00",0,2158.47770623708,2372.50141694905,7.84256358900512,7.90246431930781,605.708559532393,2.49191576251716,35.9773569975031,NA,36.107,22.533,0,NA,"9.5","Permanent","Single",1,4839,"O",5779,"9S",349,"Walton Smith-Jan 2021",4839,"2/7/2021","13:05:00","+00:00",4775,12963,2212.63592386266,25,"UNSPECIFIED",0,328,2098.85,25,0,9,191,2051.4,33.316,4373,2423.7,23.45,"AS1",0,82,2267.6,25,0,9,191,2225.5,33.316,1467,25.265,1.4567,3360,2021-02-07 13:05:00,2021-02-07 08:05:00,2021-02-07,"08:05:00","Feb","February","2021-02",2,8.08333333333333,"Winter","Dry",-80.69,24.71666667,"Oceanic","MK","MK_5","T1","Normal",35.9773569975031,2373.48740383782,2159.37474709988,2111.55975298223,1786.67657836499,2372.60986158793,2158.632222915,2021-02-07,"omega"
"WS11214_1","FL",2011,"WaltonSmith","Upper_Keys",25.6450833333333,-80.1241166666667,2011-08-02,"14:54:00",0,1950.63,2381.61,NA,8.12817841811572,312.439295931794,4.89380281971772,NA,NA,36.1916666666667,30.775,0,NA,"1","Permanent","Single",1,10312,"E",1321,"1",517,"Walton Smith",9512,"8/2/2011","14:54:00","+00:00",NA,17381,1925.73,NA,"SOMMA",1,608,1995.2,NA,1,18,104,2020.1,33.3,9348,2364.4,22.3,"Langdonometer",1,657,2205.4,NA,1,18,104,2222.61,33.3,NA,NA,NA,4729,2011-08-02 14:54:00,2011-08-02 09:54:00,2011-08-02,"09:54:00","Aug","August","2011-08",8,9.9,"Summer","Wet",-80.12666667,25.645,"Inshore","BB","BB_1","T1","HighOmega_NoReason",36.1916666666667,2368.49116069898,1939.88516709044,2111.55975298223,1786.67657836499,2380.1224576258,1949.72688043329,2011-08-02,"omega"
"WS11214_2","FL",2011,"WaltonSmith","Upper_Keys",25.6419833333333,-80.1037666666667,2011-08-02,"15:05:00",0,1983.28,2391.86,NA,8.10400801522042,338.905876052959,4.66239302577438,NA,NA,36.034,30.339,0,NA,"2","Permanent","Single",1,10313,"E",1322,"2",517,"Walton Smith",9513,"8/2/2011","15:05:00","+00:00",NA,17382,1958.38,NA,"SOMMA",1,608,1995.2,NA,1,18,104,2020.1,33.3,9349,2374.65,22.2,"Langdonometer",1,657,2205.4,NA,1,18,104,2222.61,33.3,NA,NA,NA,4730,2011-08-02 15:05:00,2011-08-02 10:05:00,2011-08-02,"10:05:00","Aug","August","2011-08",8,10.0833333333333,"Summer","Wet",-80.105,25.64166667,"Mid channel","BB","BB_1","T1","HighOmega_NoReason",36.034,2389.0926279706,1980.98535332399,2111.55975298223,1786.67657836499,2391.53569378499,1983.05253066236,2011-08-02,"omega"
"WS11214_3","FL",2011,"WaltonSmith","Upper_Keys",25.6527,-80.0807666666667,2011-08-02,"15:36:00",0,1975.93,2396.21,NA,8.11740016275927,325.883553535977,4.79008684593957,NA,NA,36.072,30.44633,0,NA,"3","Permanent","Single",1,10315,"E",1324,"3",517,"Walton Smith",9515,"8/2/2011","15:36:00","+00:00",NA,17383,1951.03,NA,"SOMMA",1,608,1995.2,NA,1,18,104,2020.1,33.3,9350,2377.25,21.9,"Langdonometer",1,658,2203.65,21.45,1,18,104,2222.61,33.3,NA,NA,NA,4731,2011-08-02 15:36:00,2011-08-02 10:36:00,2011-08-02,"10:36:00","Aug","August","2011-08",8,10.6,"Summer","Wet",-80.08333333,25.645,"Offshore","BB","BB_1","T1","HighOmega_NoReason",36.072,2390.91623141569,1971.56472477004,2111.55975298223,1786.67657836499,2395.58114337425,1975.5118964874,2011-08-02,"omega"
"WS11214_4","FL",2011,"WaltonSmith","Upper_Keys",25.10585,-80.3802666666667,2011-08-02,"22:14:00",0,1900.76,2315.56,NA,8.1726028338601,278.769059722665,4.92868372686523,NA,NA,32.055,30.742,0,NA,"4","Permanent","Single",1,10293,"E",1302,"4",517,"Walton Smith",9493,"8/2/2011","22:14:00","+00:00",NA,17375,1873.63,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9331,2296.2,NA,"Langdonometer",1,655,2203.25,NA,1,18,104,2222.61,33.3,NA,NA,NA,4723,2011-08-02 22:14:00,2011-08-02 17:14:00,2011-08-02,"17:14:00","Aug","August","2011-08",8,17.2333333333333,"Summer","Wet",-80.38,25.10833333,"Inshore","UK","UK_3","T1","HighOmega_NoReason",32.055,2599.97974087967,2134.22994535855,2111.55975298223,1786.67657836499,2340.61730682694,1914.77284234487,2011-08-02,"omega"
"WS11214_5","FL",2011,"WaltonSmith","Upper_Keys",25.0955333333333,-80.3513166666667,2011-08-02,"22:40:00",0,1949.23,2377.21,NA,8.11919361142452,319.761051354694,4.87316451219925,NA,NA,36.1616666666667,31.17467,0,NA,"5","Permanent","Single",1,10294,"E",1303,"5",517,"Walton Smith",9494,"8/2/2011","22:40:00","+00:00",NA,17376,1922.1,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9332,2357.85,NA,"Langdonometer",1,655,2203.25,NA,1,18,104,2222.61,33.3,NA,NA,NA,4724,2011-08-02 22:40:00,2011-08-02 17:40:00,2011-08-02,"17:40:00","Aug","August","2011-08",8,17.6666666666667,"Summer","Wet",-80.355,25.09333333,"Inshore","UK","UK_3","T1","HighOmega_NoReason",36.1616666666667,2366.07668614617,1940.10106761148,2111.55975298223,1786.67657836499,2375.96586608865,1948.46870492675,2011-08-02,"omega"
"WS11214_6","FL",2011,"WaltonSmith","Middle_Keys",24.8214,-80.7566,2011-08-03,"2:11:00",0,1872.63,2284.86,NA,8.08513932023102,333.984182643343,4.59111866845524,NA,NA,37.2745,32.168,0,NA,"7","Permanent","Single",1,10295,"E",1304,"6",517,"Walton Smith",9495,"8/3/2011","2:11:00","+00:00",NA,17377,1845.5,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9333,2265.5,NA,"Langdonometer",1,655,2203.25,NA,1,18,104,2222.61,33.3,NA,NA,NA,4725,2011-08-03 02:11:00,2011-08-02 21:11:00,2011-08-02,"21:11:00","Aug","August","2011-08",8,21.1833333333333,"Summer","Wet",-80.75666667,24.82083333,"Inshore","MK","MK_5","T1","HighOmega_NoReason",37.2745,2206.26397975436,1808.21412095594,2111.55975298223,1786.67657836499,2278.89871146452,1869.67332131202,2011-08-02,"omega"
"WS11214_7","FL",2011,"WaltonSmith","Middle_Keys",24.7933166666667,-80.7420333333333,2011-08-03,"2:31:00",0,1960.92,2389.36,NA,8.11985012000894,321.179488684512,4.88561765967421,NA,NA,36.135,31.052,0,NA,"8","Permanent","Single",1,10297,"E",1306,"7",517,"Walton Smith",9497,"8/3/2011","2:31:00","+00:00",NA,17378,1933.79,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9334,2367.4,NA,"Langdonometer",1,656,2200.65,NA,1,18,104,2222.61,33.3,NA,NA,NA,4726,2011-08-03 02:31:00,2011-08-02 21:31:00,2011-08-02,"21:31:00","Aug","August","2011-08",8,21.5166666666667,"Summer","Wet",-80.74166667,24.7925,"Mid channel","MK","MK_5","T1","HighOmega_NoReason",36.135,2379.92480930569,1953.17664858528,2111.55975298223,1786.67657836499,2388.26301239431,1960.2319413105,2011-08-02,"omega"
"WS11214_8","FL",2011,"WaltonSmith","Middle_Keys",24.7657333333333,-80.7243166666667,2011-08-03,"3:10:00",0,1987.49,2408.71,NA,8.12291957173228,324.344343657643,4.85613764874322,NA,NA,35.411,30.572,0,NA,"9","Permanent","Single",1,10298,"E",1307,"8",517,"Walton Smith",9498,"8/3/2011","3:10:00","+00:00",NA,17379,1960.36,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9335,2386.75,NA,"Langdonometer",1,656,2200.65,NA,1,18,104,2222.61,33.3,NA,NA,NA,4727,2011-08-03 03:10:00,2011-08-02 22:10:00,2011-08-02,"22:10:00","Aug","August","2011-08",8,22.1666666666667,"Summer","Wet",-80.72333333,24.76333333,"Offshore","MK","MK_5","T1","HighOmega_NoReason",35.411,2448.25150828226,2020.11673891665,2111.55975298223,1786.67657836499,2413.58803386606,1990.78656354429,2011-08-02,"omega"
"WS11214_9","FL",2011,"WaltonSmith","Middle_Keys",24.7190833333333,-80.6890833333333,2011-08-03,"3:59:00",0,1983.17,2398.66,NA,8.11937722999576,326.03664535989,4.75361157201009,NA,NA,35.7286666666667,30.134,0,NA,"9.5","Permanent","Single",1,10299,"E",1308,"9",517,"Walton Smith",9499,"8/3/2011","3:59:00","+00:00",NA,17380,1956.04,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9336,2376.7,NA,"Langdonometer",1,656,2200.65,NA,1,18,104,2222.61,33.3,NA,NA,NA,4728,2011-08-03 03:59:00,2011-08-02 22:59:00,2011-08-02,"22:59:00","Aug","August","2011-08",8,22.9833333333333,"Summer","Wet",-80.69,24.71666667,"Oceanic","MK","MK_5","T1","HighOmega_NoReason",35.7286666666667,2416.35973325483,1997.80382888737,2111.55975298223,1786.67657836499,2400.77851525002,1984.61992668793,2011-08-02,"omega"
"WS11214_10","FL",2011,"WaltonSmith","Middle_Keys",24.7890833333333,-80.8606833333333,2011-08-03,"6:00:00",0,1845.84,2270.21,NA,8.13055691415307,293.509026070702,4.73866485401108,NA,NA,36.3306666666667,31.24467,0,NA,"10","Permanent","Single",1,10316,"E",1325,"10",517,"Walton Smith",9516,"8/3/2011","6:00:00","+00:00",NA,17384,1818.71,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9351,2251.25,22.05,"Langdonometer",1,658,2203.65,21.45,1,18,104,2222.61,33.3,NA,NA,NA,4732,2011-08-03 06:00:00,2011-08-03 01:00:00,2011-08-03,"01:00:00","Aug","August","2011-08",8,1,"Summer","Wet",-80.86,24.78833333,"Inshore","MK","MK_6","T2","HighOmega_NoReason",36.3306666666667,2249.0668871821,1828.64916595214,2111.55975298223,1786.67657836499,2268.73244502875,1845.2889941907,2011-08-03,"omega"
"WS11214_11","FL",2011,"WaltonSmith","Middle_Keys",24.7539166666667,-80.8469833333333,2011-08-03,"6:30:00",0,1964.17,2394.51,NA,8.12593781342565,316.935146494332,4.91812475812274,NA,NA,35.946,30.917,0,NA,"11","Permanent","Single",1,10317,"E",1326,"11",517,"Walton Smith",9517,"8/3/2011","6:30:00","+00:00",NA,17385,1937.04,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9352,2375.55,22.15,"Langdonometer",1,658,2203.65,21.45,1,18,104,2222.61,33.3,NA,NA,NA,4733,2011-08-03 06:30:00,2011-08-03 01:30:00,2011-08-03,"01:30:00","Aug","August","2011-08",8,1.5,"Summer","Wet",-80.84666667,24.75333333,"Mid channel","MK","MK_6","T2","HighOmega_NoReason",35.946,2397.59481930244,1966.70041730011,2111.55975298223,1786.67657836499,2394.87452150278,1964.39866270474,2011-08-03,"omega"
"WS11214_12","FL",2011,"WaltonSmith","Middle_Keys",24.7144666666667,-80.8313666666667,2011-08-03,"6:58:00",0,1989.2,2410.11,NA,8.12269377106864,324.687640855496,4.84718667275922,NA,NA,35.475,30.489,0,NA,"12","Permanent","Single",1,10318,"E",1327,"12",517,"Walton Smith",9518,"8/3/2011","6:58:00","+00:00",NA,17386,1962.07,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9353,2391.15,22.1,"Langdonometer",1,658,2203.65,21.45,1,18,104,2222.61,33.3,NA,NA,NA,4734,2011-08-03 06:58:00,2011-08-03 01:58:00,2011-08-03,"01:58:00","Aug","August","2011-08",8,1.96666666666667,"Summer","Wet",-80.83166667,24.71333333,"Offshore","MK","MK_6","T2","HighOmega_NoReason",35.475,2445.25506390756,2018.20720760667,2111.55975298223,1786.67657836499,2414.46356374234,1992.15326711069,2011-08-03,"omega"
